Monster,Source,# Enc.,Move,AC,HD,# Attacks,Attack Types,Damage,Save,Morale,XP,Notes
Aboleth,M2,1d4(1d4),S180'(60'),4(15),8,4,tentacles,1d6/1d6/1d6/1d6,F8,10,"2,060",Slime and enslavement abilites. Ground movement 30'(10').
Adherer,FF,1d4(1d6),90'(30'),3(16),4,1,fists,1d3,F4,7,190,Creatures and weapons stick to skin.
Aerial Servant,L2,1(1),240'(80'),3(16),16,1,slam,8d4,F10,10,"3,300",Surprises on 1-4. May pin human-sized creatures.
Afanc,M2,1(1),S150'(50'),6(13),15,1or2,bite/flippers,5d4/3d4/3d4,F15,10,"2,400",Create whirpool in 5-8rds.
Algoid,FF,1d6(1d6),60'(20'),5(14),5,2,fists,1d10/1d10,F5,10,800,"Mind Blast. Immune to edged weapons, fireballs and lightning."
Ankheg 3HD,L2,1d6(1d6),120'(40'),3(16),3,1,bite,3d6+1d4,F3,9,80,Spit acid 1/day R30' 8d4Dam (S½). Burrows at 60'/rd.
Ankheg 4HD,L2,1d6(1d6),120'(40'),3(16),4,1,bite,3d6+1d4,F4,9,190,Spit acid 1/day R30' 8d4Dam (S½). Burrows at 60'/rd.
Ankheg 5HD,L2,1d6(1d6),120'(40'),3(16),5,1,bite,3d6+1d4,F5,9,500,Spit acid 1/day R30' 8d4Dam (S½). Burrows at 60'/rd.
Ankheg 6HD,L2,1d6(1d6),120'(40'),3(16),6,1,bite,3d6+1d4,F6,9,820,Spit acid 1/day R30' 8d4Dam (S½). Burrows at 60'/rd.
Ankheg 7HD,L2,1d6(1d6),120'(40'),3(16),7,1,bite,3d6+1d4,F7,9,"1,140",Spit acid 1/day R30' 8d4Dam (S½). Burrows at 60'/rd.
Ankheg 8HD,L2,1d6(1d6),120'(40'),3(16),8,1,bite,3d6+1d4,F8,9,"2,800",Spit acid 1/day R30' 8d4Dam (S½). Burrows at 60'/rd.
"Ant, Giant",L1,2d4(4d6),180'(60'),3(16),4,1,bite,2d6,F2,7,80,Will never retreat if defending the nest.
Ant Lion,M2,1(1),90'(30'),2(17),8,1,bite,5d4,F4,9,"1,560",Recuring damgage after a hit until dead.
"Ape, Albino",L1,1d6(2d4),120'(40'),6(13),4,2,claws,1d4/1d4,F2,7,80,Throw rocks 1d6Dam.
"Ape, Chimpanzee",L2,1d4(3d4),120'(40'),6(13),3,3,fists/bite,1d3/1d3/1d6,F3,9,50,
"Ape, Gorilla",L2,1d4(3d4),120'(40'),6(13),4+1,3,fists/bite,1d3/1d3/1d6,F4,8,80,
"Ape, Man-Eating",L2,2d4(3d4),120'(40'),6(13),5,3,fists/bite,1d4/1d4/1d8,F5,10,350,Only surprised on 1. +1d8Dam if both fists hit.
Apparition,FF,1d4(1d4),F240'(80'),0(19),8,1,fear,Special,F8,12,"2,060",Mental suggestion (roll under INT on 3d6 for immunity).
Archer Bush,CC,0(1d20),3'(1'),7(12),2,1,thorn spray,1d4,F1,12,20,May fire thorns up to 3 times per day.
Ascomoid(8'diameter),M2,1(1),120'(40'),3(16),6+6,1,slam,1d8,F3,12,80,"Knock down, spore jet, 50% resistant to fire and electricity."
"Assassin Bug, Giant",FF,2(2),F180'(60'),5(14),1+1,1,bite,1d4,F2,7,21,Male's bite paralyses (S+2). Female implants eggs.
Axe Beak,L2,1d6(2d4),180'(60'),6(13),3,3,claws/bite,1d3/1d3/2d4,F3,8,50,
Babbler,FF,1d4(1d4),120'(40'),6(13),5,3,claws/bite,1d6/1d6/1d8,F3,9,500,Surprises on 1-4. Surprise bite attack at +4 to hit and 2xDam.
Baboon,L2,2d4(1d4x10),120'(40'),7(12),1+1,1,bite,1d4,F1,7,15,
"Baboon, Higher",L1,2d6(5d6),120'(40'),6(13),2,2,bite/club,1d3/1d6,F2,8,20,
Badger,L2,1d2(1d4+1),60'(20'),4(15),1+2,3,claws/bite,1d2/1d2/1d3,F1,8,15,
"Badger, Giant",L2,1d2(1d4+1),60'(20'),4(15),3,3,claws/bite,1d3/1d3/1d6,F3,8,50,
Banderlog,M2,4d8(4d8),120'(40'),6(13),4,1,bite,1d4+1,F4,9,80,"Throw coconuts R30', 1d4+1Dam."
Basilisk,L1,1d6(1d6),60'(20'),4(15),6+1,2,bite/gaze,1d10/petrify,F6,9,570,Gaze turns to stone (SNeg). Not immune to its own gaze.
"Basilisk, Greater",M2,1d2(1d2),60'(20'),2(17),10,4,claws/bite/gaze,1d6/1d6/2d8,F10,10,"2,400",As regular basilisk + poisonous claws/breath (SorD+4/+2).
Bat,L1,1d00(1d00),F120'(40'),6(13),1hp,1,swarm,0,F0,6,6,Swarm attack victims get -2 to hit and on saves.
"Bat, Giant",L1,1d10(1d10),F180'(60'),6(13),2,1,bite,1d4,F1,8,20,Vampiric variety cause paralysis and drain blood (1d4/rd).
"Bat, Mobat",M2,1d8(1d8),F150'(50'),7(12),6,1,bite or screech,2d4,F3,9,135,Screech causes victims to cover ears.
"Bear, Black",L1,1d4(1d4),120'(40'),6(13),4,3,claws/bite,1d3/1d3/1d6,F2,7,80,+2d4Dam if both claws hit.
"Bear, Grizzly",L1,1(1d4),120'(40'),6(13),5,3,claws/bite,1d4/1d4/1d8,F2,8,200,+2d6Dam if both claws hit.
"Bear, Polar",L1,1(1d2),120'(40'),6(13),6,3,claws/bite,1d6/1d6/1d10,F3,8,320,+2d6Dam if both claws hit.
"Bear, Cave",L1,1d2(1d2),120'(40'),5(14),7,3,claws/bite,1d8/1d8/1d12,F3,9,440,+2d8Dam if both claws hit.
"Bee, Giant Killer",L1,1d6(5d6),F150'(50'),7(12),½,1,sting,1d3+poison,F1,9,7,Poisonous sting (SorD). Bee dies after using sting.
"Beetle, Gt.Boring",L2,3d6(3d6),60'(20'),3(16),5,1,bite,5d4,F5,7,200,
"Beetle, Gt.Carnivorous",L1,1d6(2d4),150'(50'),3(16),3+1,1,bite,2d6,F1,9,65,
"Beetle, Gt.Deathwatch",M2,1(1),120'(40'),3(16),9,1,bite,3d4,F9,9,"1,700",Sonic Vibration attack 1/day (SorD) 30'R.
"Beetle, Gt.Fire",L1,1d8(2d6),120'(40'),4(15),1+2,1,bite,2d4,F1,7,15,Light emitting organs 10'R.
"Beetle, Gt.Rhinoceros",L2,1d6(1d6),60'(20'),2(17),12,2,bite/horn,3d6/2d8,F12,8,"1,200",
"Beetle, Gt.Slicer",M2,1d3(1d3),60'(30'),3(16),6,1,bite,2d8,F6,8,570,On a to hit roll of 19 or 20 it severs a limb.
"Beetle, Gt.Spitting",L1,1d8(2d6),120'(40'),4(15),2,1,bite,1d6,F1,8,38,"Toxic spray R5', target gets -2 to hit penalty."
"Beetle, Gt.Stag",L2,2d6(2d6),60'(20'),3(16),7,3,horns/bite,1d10/1d10/4d4,F7,8,440,
"Beetle, Gt.Water",M1,1d12(1d12),S120'(40'),3(16),4,1,bite,3d6,F4,8,80,
Black Pudding,L1,1(0),60'(20'),6(13),10,1,corrosion,3d8,F5,12,"3,100",Only damaged by fire. Normal blows cause it to split.
Blindheim,FF,1d4(1d4),90'(30'),1(18),4+2,1,bite,1d8,F4,8,215,Blinding eye beams R30'. AC3 if resistant to bright light.
Blink Dog,L1,1d6(1d6),120'(40'),5(14),4,1,bite,1d6,F4,6,135,Teleports in to attack and teleports away immediatley afterwards.
Blood Hawk,FF,1d12+3(1d12+3),F240'(80'),7(12),1+1,3,claws/bite,1d4/1d4/1d6,F1,12,15,
Boalisk,M2,1d3(1d3),120'(40'),5(14),5+1,2,bite/constrict,1d3/1d6+1,F5,8,460,Gaze causes rotting disease.
Boar,L1,1d6(1d6),150'(50'),7(12),3,1,tusk,2d4,F2,9,50,
"Boar, Giant",L1,1d4(1d4+1),120'(40'),6(13),5,1,tusk,3d4,F5,9,200,
"Boar, Warthog",L2,1d6(1d6),120'(40'),7(12),3+3,2,tusks,2d4/2d4,F3,9,65,
Boggart,M2,1d4+1(1d4+1),180'(60'),-6(25),6,1,touch,2d6,F6,8,"2,070","Invisibility, energy bolt R10' 2d6Dam (S½), confusion, magic resistance."
Bonesnapper,FF,1d3(1d3),60'(20'),4(15),4,2,bite/tail,1d8/1d4,F4,12,80,
Brown Pudding,M2,1(1d4),60'(20'),5(14),11,1,corrosion,5d4,F11,12,"3,100",Only damaged by fire. Normal blows cause it to split.
Brownie,L2,4d4(4d4),120'(40'),3(16),½,1,weapon,1d3,M1,7,12,"Spells (confusion, continual light, dancing lights, dimnesion door etc.)."
Bugbear,L1,2d4(5d4),90'(30'),5(14),3+1,1,weapon,Weapon +1,F3,9,100,Surprises on 1-3.
Bulette,L2,1d2(1d2),150'(50'),-2(21),9,3,claws/bite,3d6/3d6/4d12,F9,9,"1,000","May use rear claws instead of bite, which exposes AC6 underside."
Camel,L1,0(2d4),150'(50'),7(12),2,2,bite/hoof,1/1d4,F1,7,20,May travel for 2 weeks without water.
Carbuncle,FF,1(1),30'(10'),2(17),1,0,0,0,F1,12,13,"Empathy, telepathy and prophecy powers."
Carcass Scavenger,L1,1d3(1d3),120'(40'),7(12),3+1,8,tentacles,Paralysis,F2,9,135,Paralysis lasts for 2d4turns (SNeg).
Caryatid Column,FF,1d12(1d12),60'(20'),5(14),5,1,sword,2d4,F10,12,500,All have 22hp. Non-magical weapons only do half damage.
"Cat, Cheetah",M2,1d4(1d4),150'(50'),5(14),3,3,claws/bite,1d2/1d2/2d4,F2,8,65,May sprint at 450'/rd for upto 3rds.
"Cat, Lion",L1,1d4(1d8),150'(50'),6(13),5,3,claws/bite,1d4+1/1d4+1/1d10,F3,9,200,
"Cat, Mountain Lion",L1,1d4(1d4),150'(50'),6(13),3+2,3,claws/bite,1d3/1d3/1d6,F2,8,65,
"Cat, Panther",L1,1d2(1d6),210'(70'),4(15),4,3,claws/bite,1d4/1d4/1d8,F2,8,80,Same stats also apply for Leopards.
"Cat, Sabre-tooth Tiger",L1,1d4(1d4),150'(50'),6(13),8,3,claws/bite,1d8/1d8/2d8,F4,10,560,
"Cat, Tiger",L1,1(1d3),150'(50'),6(13),6,3,claws/bite,1d6/1d6/2d6,F3,9,570,Surprises on 1-4 in woodlands.
Cave Fisher,M2,1d4(1d4),10'(3'),4(15),3,2,pincers,2d4/2d4,F2,9,65,"60' sticky filament, +3 to hit, reels in prey at 15'/rd."
Cave Moray,M2,4d4(4d4),10'(3'),0(19),4+4,1,bite,2d8,F3,9,290,Surprises on 1-5. Only 5% chance of hitting AC5 body.
Centaur,L1,0(2d10),180'(60'),5(14),4,3,hooves/weapon,1d6/1d6/weapon,F4,8,80,
"Centipede, Giant",L1,2d4(1d8),60'(20'),9(10),½,1,bite,Poison,F0,7,6,Poison causes sickness for 10 days (SNeg).
"Centipede, Megalo-",M2,1d4(1d4),180'(60'),5(14),3,1,bite,1d3+poison,F2,8,65,"Poison (SorD), 1d8Dam if save is made."
"Centipede, Stega-",M2,1(1),150'(50'),3(16),9,2,bite/tail,2d4/3d4+poison,F5,9,"1,700",Poison bite and tail attacks (SorD).
Chimera,L1,1d2(1d4),F180'(60'),4(15),9,5,claws/bites/horns,1d3/1d3/2d4/2d4/3d4,F9,9,"1,700",See Dragon Sub-table. Ground movement 120'(40').
Clubneck,FF,2d4(2d4),120'(40'),8(11),2,3,claws/bite,1d6/1d6/1d8,F2,8,20,May run at upto 2x speed 1rd in 5.
Cockatrice,L1,1d4(1d8),F180'(60'),6(13),5,1,bite,1d6+petrify,F5,7,350,Touch turns to stone (SNeg). Ground movement 90'(30').
Coffer Corpse,FF,1(1),60'(20'),8(11),2,1,hands or weapon,1d6/weapon,F2,12,38,Magic weapons to hit. Hands do ongoing 1d6Dam.
Cooshee,M2,1d8(1d8),150'(50'),5(14),3+3,1,bite,1d4+6,F2,9,100,Will try to knock down opponents then bite at +2 to hit.
Couatl,L2,1d4(1d4),F180'(60'),5(14),9,2,bite/constrict,1d3/2d4,M9,8,"3,100",Bite is poisonous (SorD). Polymorph at will. Spell use.
"Crab, Giant",L1,1d2(1d6),60'(20'),2(17),3,2,pincers,2d6/2d6,F2,7,50,
Crabman,FF,2d6(2d6),90'(30'),4(15),3,2,pincers,1d4/1d4,F3,8,50,
"Crayfish, Giant",L2,1d4(1d4),S120'(40'),4(15),4+4,2,pincers,2d6/2d6,F4,9,140,Surprises on 1-3 when in water. Ground movement 60'(20').
Crocodile,L1,0(1d8),S90'(30'),5(14),2,1,bite,1d8,F1,7,20,Ground movement 90'(30').
"Crocodile, Large",L1,0(1d4),S90'(30'),3(16),6,1,bite,2d8,F3,7,320,Ground movement 90'(30').
"Crocodile, Giant",L1,0(1d3),S90'(30'),1(18),15,1,bite,3d8,F8,9,"1,500",Ground movement 90'(30').
Crypt Thing,FF,1(1),120'(40'),3(16),6,1,claw,1d8,F6,12,820,Magic weapons to hit. Teleport party away.
Crystal Ooze,M2,1d2(1d2),S30'(10'),8(11),4,1,poison,4d4+paralysis,F4,12,190,75% invisible in water. Weapons do 1Dam. Paralysis (SNeg).
Cyclops,L1,1(1d4),90'(30'),5(14),13,1,club,3d10,F13,9,"2,400",Attacks at -2 to hit. Throw rocks (200') 3d6Dam.
"Daemon, Charon",M2,1(1),180'(60'),-5(24),22,1,pole,2d4+paralysis,F22,10,"12,250",140hp. Gaze causes fear (SNeg). Summon lesser daemons.
"Daemon, Charna-",M2,1(1),180'(60'),-1(20),10+20,1,pole,2d4,F10,10,"2,400",Gaze causes fear (SNeg). Summon lesser daemons.
"Daemon, Dergho-",M2,1d4(1d4),120'(40'),0(19),11+22,5,claws,1d4+8each,F11,10,"3,600","2 hits ""grabs"" an opponent. Spell-like abilities."
"Daemon, Guardian",FF,1d3(1d3),90'(30'),1(18),8,3,claws/bite,1d12/1d12/1d6,F8,10,"1,560",Fire breath R30' 5d6Dam (S½). Spell-like abilities.
"Daemon, Hydro-",M2,2d4(2d4),60'(20'),2(17),9+36,3,claws/bite,1d8/1d8/1d10,F9,10,"3,100",Glides at 4x speed. Bite drains 1 level. Spell-like abilities.
"Daemon, Oino-",M2,1(1),180'(60'),-6(25),23,2,claws,2d6/2d6+disease,F23,10,"13,500",233hp. Gaze transfixes. Disease (SNeg). Spell-like abilities.
"Daemon, Pisco-",M2,3d4(3d4),S180'(60'),-1(20),6,2,pincers,2d8/2d8,F6,10,820,Never surprised. Poison tentacles if both pincers hit (SorD).
Dakon,FF,10d6(10d6),60'(20'),5(14),1+1,2,claws,1d10/1d10,F1,8,21,"Intelligent ape, speaks some common. Attacks at +2 to hit."
Dark Creeper,FF,1(20d4),90'(30'),0(19),1+1,1,dagger,1d4,F1,8,33,4th level thief. Detect magic items R15'. Create darkness 50'R.
Dark Stalker,FF,1(1),90'(30'),0(19),2+1,1,short sword,1d6,F2,8,83,As Dark Creeper + create wall of fog 2/day.
Death Dog,FF,5d10(5d10),120'(40'),7(12),2+1,2,bites,1d10/1d10,F2,8,59,Knock over opponent on a 19/20. Bites causes disease (SorD).
"Demodand, Shaggy",M2,1(1d8),F180'(60'),-3(22),15,3,claws/bite,1d8+1/1d8+1/5d4,F15,10,"6,000",+3 weapons to hit. Spell-like abilities. Several immunities.
"Demodand, Slime",M2,1(1d10),F240'(60'),-2(21),13,3,claws/bite,2d4/2d4/4d4,F13,10,"5,100",+2 weapons to hit. Spell-like abilities. Several immunities.
"Demodand, Tarry",M2,1(2d6),F300'(100'),-1(20),11,3,claws/bite,1d6+1/1d6+1/3d4,F11,10,"4,000",+1 weapons to hit. Spell-like abilities. Several immunities.
"Demon, Alu-",M2,1(1),120'(40'),5(14),6+2,1,weapon,Weapon,F6,7,980,+1 weapons to hit. Grasp drains 1d8hp. Spell-like abilities.
"Demon, Astarot",L2,1(1),150'(50'),-7(26),23,3,tentacles/tail,1d6/1d6/2d6,F23,12,"17,000",+2 weapons to hit. 2 gaze + 1 breath attacks. Spell-like abilities.
"Demon, Babau",L2,1d3(1d6),150'(50'),-3(22),7+10,3,claws/horn,1d4+1/1d4+1/2d4,F7,10,"1,700",Edged weapons do half damage. Gaze and spell-like abilities.
"Demon, Balor",L2,1d3(1d6),F150'(50'),-2(21),8+7,1,sword or whip,1d8+1/1d6,F8,10,"1,820",+1 weapons to hit. Whip+3d6 fire damage. Spell-like abilities.
"Demon, Baphomet",M2,1(1),240'(80'),-4(23),21,3,butt/bite/weapon,2d6/1d4+1/3d4+8,F21,12,"11,000",106hp. +2 weapons to hit. Bellow R300'. Spell-like abilities.
"Demon, Cambion (Major)",M2,1(1),150'(50'),6(13),5-8,1,weapon,Weapon+STR,F5-8,9,Varies,Immune to silver weapons. Possible MU/Thief abilities.
"Demon, Demogorgon",M1,1(1),150'(50'),-8(27),22,3,tentacles/tail,1d6/1d6/energy drain,F22,11,"17,000",200hp. +2 weapons to hit. Gazes. Rot. Spell-like abilities.
"Demon, Fraz-urb'luu",M2,1(1),F180'(60'),-2(21),23,3,fists/tail,1d6+12/1d6+12/1d12,F23,12,"9,000",233hp. Tail hit allows bite attack (3d6Dam). Spell-like abilities.
"Demon, Glabrezu",L2,1d3(1d6),90'(30'),-4(23),10,5,pincers/claws/bite,2d6/2d6/1d3/1d3/1d4+1,F10,9,"3,100","Darkness 10'R, fear, levitate, polymorph, pyros, telekinesis."
"Demon, Hezrou",L2,1d3(1d6),120'(40'),-2(21),9,3,claws/bite,1d3/1d3/4d4,F9,10,"3,100","Darkness 10'R, detect invisibility, fear, levitate, telekinesis."
"Demon, Jubilex",L2,1(1),30'(10'),-7(26),21,1,acid,4d10,F21,10,"7,000",100hp. +2 weapons to hit. Slime spittle. Spell-like abilities.
"Demon, Kostchtchie",M2,1(1),60'(20'),-3(22),21,1,weapon,2d6+10,F21,12,"9,000",96hp. Stuns on a hit for 1 round (SNeg). Spell-like abilities.
"Demon, Marilith",L2,1d3(1d6),120'(40'),-6(25),7+6,7,weapons/tail,Weapons/2d4,F7,9,"1,700",+1 weapons to hit. Spell-like abilities.
"Demon, Nabassu",M2,1(1),F150'(50'),Varies,5+2d10,3,claws/bite,2d4/2d4/3d4,F5,9,Varies,Extra HP and AC. Death Steal gaze. Spell-like abilities.
"Demon, Nalfeshnee",L2,1d3(1d6),F120'(40'),-1(20),11,3,claws/bite,1d4/1d4/2d4,F11,10,"4,400",Spell-like abilities.
"Demon, Orcus",L2,1(1),F180'(60'),-6(25),22,2,fist/tail,2d6+1/2d4+poison,F22,10,"13,000",125hp. +3 weapons to hit. Poison tail (SorD). Spell-like abilities.
"Demon, Pazuzu",M2,1(1),F240'(80'),-9(28),23,1,weapon,Weapon+8,F23,12,"16,000",155hp. +2 weapons to hit. Turn clerics. Spell-like abilities.
"Demon, Quasit",L2,1(0),150'(50'),2(17),3,3,claws/bite,1d2/1d2/1d4,F3,10,95,Magic weapons to hit. Regenerate 1hp/rd. Spell-like abilities.
"Demon, Shadow",FF,1(1),120'(40'),1(18),7+3,3,claws/bite,1d6/1d6/1d8,F7,9,"1,300","AC9 daylight, AC5 torchlight, AC1 darkness. Spell-like ablities."
"Demon, Succubus",L2,1(1),F180'(60'),0(19),6,2,claws,1d3/1d3,F6,7,"1,320",Magic weapons to hit. Level drain. Spell-like abilities.
"Demon, Vrock",L2,1d3(1d6),F180'(60'),0(19),8,5,claws/beak,1d4/1d4/1d8/1d8/1d6,F8,11,"2,060","Spell-like abilities, darkness 10'R. Detect invisibility, telekinesis."
Demon Boar,L1,1d4(1d4),180'(60'),3(16),9,1,gore,2d6,F9,10,"3,800",Silver weapons to hit. Charm Person (SNeg-2).
"Deva, Monadic",M2,1d4(1d4),F360'(120'),-4(23),8+32,2,rod,3d4+4/3d4+4,F8,10,"3,020",+1 weapons to hit. Spell-like abilities.
"Deva, Movanic",M2,1d6(1d6),F300'(100'),-5(24),7+28,4,sword,1d8+6/1d8+6/1d8+6,F7,10,"2,100",+1 weapons to hit. Spell-like abilities.
"Devil, Amon",L2,1(1),180'(60'),-2(21),22,1,bite/weapon,3d4/weapon+4,F22,10,"13,000",132hp. +4mace(1d6+8Dam). Regenerate 1hp/rd. Spell-like abilities.
"Devil, Bael",L2,1(1),120'(40'),-3(22),21,2,weapon,Weapon+6,F21,10,"11,000",110hp. +2m.star(1d6+8Dam). Regenerate 1hp/rd. Spell-like abilities.
"Devil, Barbed",L2,1d2(3d4),120'(40'),0(19),8,3,claws/tail,2d4/2d4/3d4,F8,10,"2,560",Never surprised. Hits cause fear (Sneg). Spell-like abilities.
"Devil, Bone",L2,1d2(2d4),150'(50'),-1(20),9,1,hook or tail,3d4/2d4,F9,10,"3,100",Tail hit drains 1d4STR for 2d6rds (SNeg). Spell-like abilities.
"Devil, Erinyes",L2,1d3(4d4),F210'(70'),2(17),6+5,1,dagger,2d4+poison,F6,10,"1,280",Poison paralyzes (SNeg). Rope of entanglement. Spell-like abilities.
"Devil, Geryon",L2,1(1),F180'(60'),-3(22),23,3,claws/sting,3d6/3d6/2d4,F23,10,"13,000",135hp. +2 weapons to hit. Poison sting (SorD-4). Spell-like abilities.
"Devil, Horned",L2,1d2(1d4+1),F180'(60'),-5(24),5+5,4,claws/bite/tail,1d4/1d4/1d4+1/1d3,F5,9,"1,260",+1 weapons to hit. Tail hit does +1Dam/rd. Spell-like abilities.
"Devil, Hutijin",M2,1(1),F180'(60'),-4(23),21,2,trident/net,1d8+11/ensnare,F21,10,"7,000",111hp. Voice fear R30' (SNeg). Spell-like abilities.
"Devil, Ice",L2,1(1d4),60'(20'),-4(23),11,4,claws/bite/tail,1d4/1d4/1d4/3d4,F11,11,"4,800",+2 weapons to hit. Regenerate 1hp/rd. Spell-like abilities.
"Devil, Imp",L2,1(1),F180'(60'),2(17),2+2,1,tail,1d4+poison,F2,8,83,Magic weapons to hit. Poison (SorD). Regenerates 1hp/rd.
"Devil, Lemure",L2,0(5d6),30'(10'),7(12),3,1,claw,1d4,F3,6,95,Regenerate 1hp/rd. Only permanently killed by Holy Water.
"Devil, Moloch",M2,1(1),120'(40'),-3(22),22,3,claws/bite,1d4+7/1d4+7/4d4,F22,10,"7,750",126hp. Breath causes fear R30' (SNeg). Spell-like abilities.
"Devil, Pit Fiend",L2,1(1d3),F150'(50'),-3(22),13,2or1,weapons/tail,1d6+6/1d6+6/2d4,F13,10,"5,100",+2 weapons to hit. Regenerate 2hp/rd. Spell-like abilities.
"Devil, Titivilus",M2,1(1),F300'(100'),-2(21),21,1,weapon,Weapon+3,F21,10,"7,000",86hp. Touch causes fear (SNeg). Spell-like abilities.
Devil Dog,FF,4d4(4d4),300'(100'),6(13),6,1,bite,2d4,F6,8,820,Baying causes fear ≤3rd level (SNeg-4). Special throat attack.
"Dinosaur, Pteranodon",L1,0(1d4),F240'(80'),6(13),5,1,bite,1d12,F3,8,350,Wingspan upto 50'.
"Dinosaur, Pterodactyl",L1,0(1d4),F180'(60'),7(12),1,1,bite,1d3,F1,7,13,Wingspan 7'-10'. Attacks upto halfling-sized creatures.
"Dinosaur, Stegosaurus",L1,0(1d4),60'(20'),3(16),11,1,tail or trample,2d8/2d6,F6,7,"1,200",
"Dinosaur, Triceratops",L1,0(1d4),90'(30'),2(17),11,1,gore or trample,3d6/3d6,F6,8,"1,200",
"Dinosaur, T.Rex",L1,0(1),120'(40'),3(16),20,1,bite,6d6,F10,11,"2,250",Generally ignores prey smaller than halfling-sized.
Dire Corby,FF,1d12(1d12),120'(40'),6(13),2,2,claws,1d6/1d6,F2,9,20,
Disenchanter,FF,1d2(1d2),120'(40'),5(14),5,1,snout,Drain magic,F5,6,500,Magic weapons to hit. Snout hits drain magic from items.
Djinni,L1,1(1),F240'(80'),5(14),7+1,1,fist,2d8,F14,12,"1,700",Magic weapons to hit. Whirlwind 2d6Dam. Spel-like abilities.
"Dog, War",L2,0(0),120'(40'),6(13),2+2,1,bite,2d4,F2,11,35,
"Dog, Wild",L2,4d4(4d4),150'(50'),7(12),1+1,1,bite,1d4,F1,7,15,
Doppelganger,L1,1d6(1d6),90'(30'),5(14),4,1,fist,1d12,F10,10,190,Polymorph self. Immune to sleep and charm spells.
Dracolisk,M2,1d2(1d2),F150'(50'),3(16),7+3,3,claws/bite,1d6/1d6/3d4,F7,9,"1,300",See Dragon Sub-table. Ground movement 90'(30').
"Dragon, Black",L1,1d4(1d4),F240'(80'),2(17),7,3,claws/bite,1d4+1/1d4+1/2d10,F7,8,"1,490",See Dragon Sub-table. Ground movement 90'(30').
"Dragon, Blue",L1,1d4(1d4),F240'(80'),0(19),9,3,claws/bite,1d6+1/1d6+1/3d10,F9,9,"3,100",See Dragon Sub-table. Ground movement 90'(30').
"Dragon, Brass",L2,1d4(1d4),F240'(80'),2(17),7,3,claws/bite,1d4/1d4/4d4,F7,9,"1,490",See Dragon Sub-table. Ground movement 120'(40').
