Monster,Source,# Enc.,Move,AC,HD,# Attacks,Attack Types,Damage,Save,Morale,XP,Notes
Hydra11HD,L1,1(1),120'(40'),5(14),11,11,bites,1d10each,F11,9,"1,200",8hp/head. Hydra dies when all heads reach 0hp.
Hydra12HD,L1,1(1),120'(40'),5(14),12,12,bites,1d10each,F12,9,"1,200",8hp/head. Hydra dies when all heads reach 0hp.
Hyena,L2,2d6(2d6),120'(40'),7(12),3,1,bite,2d4,F3,9,50,
"Hyena, Giant",L2,2d4(2d4),120'(40'),7(12),5,1,bite,3d4,F5,9,200,
Insect Swarm2HD,L1,1(3),F60'(20'),7(12),2,1,bites,2,F0,11,29,Always hits. Immune to weapons. Torch does 1d4Dam.
Insect Swarm3HD,L1,1(3),F60'(20'),7(12),3,1,bites,2,F0,11,65,Always hits. Immune to weapons. Torch does 1d4Dam.
Insect Swarm4HD,L1,1(3),F60'(20'),7(12),4,1,bites,2,F0,11,135,Always hits. Immune to weapons. Torch does 1d4Dam.
Invisible Stalker,L1,1(1),120'(40'),3(16),8,1,fist,4d4,F8,12,"1,060",Surprises on 1-5.
Iron Cobra,FF,1(1),120'(40'),0(19),1,1,bite,1d3+poison,F1/M12,12,16,Poison (SorD-2). Makes spell saves as M12.
Jackal,L2,1d6(2d4),150'(50'),7(12),½,1,bite,1d2,F1,7,5,
Jackalwere,L2,1d4(1d4),120'(40'),4(15),4,1,bite/weapon,2d4/weapon,F4,9,190,+1/iron weapons to hit. Sleep gaze (SNeg).
Jaculi,FF,1d10+10(1d10+10),90'(30'),6(13),1,1,impale,1d6,F1,8,13,Surprises on 1-4. Only gets 1 attack from its perch.
Kamadan,FF,1(1),180'(60'),4(15),4+2,3,claws/bite,1d3/1d3/1d6,F4,8,235,+4-7 snake heads 1d4Dam. Sleep breath R30'x10' ≤4HD(NS).
Kampfult,M2,1(1),30'(10'),4(15),2,6,vines,1each,F2,12,29,Surprises on 1-3. Ongoing 1Dam/rd from each vine that hits.
Kech,M2,2d4(2d4),150'(50'),4(15),5,3,claws/bite,1d4+1/1d4+1/1d6,F5,8,650,Surprises on 1-5. Camouflage. Move silently 50%.
Kelpie,FF,1d4(1d4),S120'(40'),3(16),5,0,,0,F5,7,350,Charm 1/day causes a male victim to drown himself.
Khargra,FF,1d6(1d6),B150'(50'),-3(22),6,1,bite,3d6,F6,10,"1,070",Surprises on 1-5. Must hit with 1 of 3 arms (0Dam) to bite.
Killmoulis,FF,1d3(1d3),150'(50'),6(13),½,0,,0,F0,5,6,Hiding 90% chance of success.
Kobold,L1,4d4(6d10),60'(20'),7(12),½,1,weapon,Weapon-1,F0,6,5,Extended infravision R90'.
Korred,M2,1d4(1d4),90'(30'),5(14),6+1,1,weapon,Weapon+4,F6,10,"1,880",Throw rocks R100' 2d8Dam. Laugh R60'. Spell-like abilities.
Lamia,L2,1(1),240'(80'),3(16),9,1,weapon,Weapon,F9,9,"4,500",Touch drains 1WIS. Spell-like abilities.
Lammasu,L2,2d4(2d4),F240'(80'),6(13),7+7,2,claws,1d6/1d6,F7,9,"1,300",Constant protection from evil 10'R. Cleric spells.
Land Lamprey,M2,2d6(2d6),120'(40'),7(12),1+2,1,bite,1,F1,12,21,Drains blood 1Dam/rd(max 3rds). Death/fire removes.
Lava Child,FF,3d6(3d6),90'(30'),4(15),4,3,claws/bite,1d6/1d6/2d6,F4,9,190,Immune to fire. Immune to metal and ignore armour.
"Leech, Giant",L1,0(1d4),S120'(40'),7(12),6,1,blood drain,1d6/round,F3,10,570,Once a leech hits blood drain damage is 1d6/round.
Leprechaun,L2,1(1d20),150'(50'),8(11),2-5hp,0,,0,M1,6,6,Spell-like abilities.
Lich,L2,1(1),60'(20'),0(19),12+,1,touch,1d10cold,M18+,9,"4,400+",Magic weapons to hit. Touch paralyzes (SNeg). Spell use.
"Lizard, Gt.Draco",L1,1d4(1d8),120'(40'),5(14),4+2,1,bite,1d10,F3,7,215,Able to glide at 210'(70').
"Lizard, Gt.Gecko",L1,1d6(1d10),120'(40'),5(14),3+1,1,bite,1d8,F2,7,100,May climb sheer surfaces.
"Lizard, Gt.Horned(Chameleon)",L1,1d3(1d6),120'(40'),2(17),5,2,bite/horn,2d4/1d6,F3,7,800,Surprises on 1-5. Sticky tongue R5'. Tails knocks victims down.
"Lizard, Gt.Tuatara",L1,1d2(1d4),90'(30'),4(15),6,3,claws/bite,1d4/1d4/2d6,F4,6,570,Extended infravision R90'.
"Lizard, Gt.Fire",M1,1d4(1d4),90'(30'),3(16),10,3,claws/bite,1d6/1d6/2d8,F10,8,"1,700",Fire breath R15'x10' 2d6Dam (S½).
Lizardfolk,L1,2d4(6d6),S120'(40'),5(14),2+1,1,weapon,Weapon+1,F2,12,47,Ground movement 60'(20').
Locathah,L2,3d4(2d10x10),S120'(40'),6(13),2,1,weapon,Weapon,F2,9,20,In a group of 30+ 1 4HD leader and 1d4 3HD captains.
"Locust, Subterranean",L1,2d10(1d10),F180'(60'),4(15),2,1,bite/slam/spit,1d2/1d4/special,F2,5,38,Spit R10' incapacitates for 1turn (SNeg). Noise attracts monsters.
Lurker Above,L2,1(1d4),F90'(30'),6(13),10,1,crush,1d6,F10,12,"1,700",Surprises on 1-4. Victims suffocate in 1d4+1rds.
"Lycanthrope, Werebear",L1,1d4(1d4),120'(40'),2(17),6,3,claws/bite,2d4/2d4/2d8,F6,10,"1,070",Silver weapons to hit. +2d8Dam if both claws hit.
"Lycanthrope, Wereboar",L1,1d4(2d4),150'(50'),4(15),4+1,1,tusks,2d6,F4,9,365,Silver weapons to hit. +2 to hit and morale 12 if enraged.
"Lycanthrope, Wererat",L1,1d8(2d6),120'(40'),7(12),3,1,bite/weapon,1d4/weapon,F3,8,95,Silver weapons to hit. Surprises on 1-4.
"Lycanthrope, Wereshark",M2,1(1),S210'(70'),0(19),10,1,bite,5d4,F10,10,"2,400",Silver weapons to hit. Ground movement 120'(40').
"Lycanthrope, Weretiger",L1,1d4(1d4),150'(50'),3(16),5,3,claws/bite,1d6/1d6/2d6,F5,9,650,Silver weapons to hit. Surprises on 1-4.
"Lycanthrope, Werewolf",L1,1d6(2d6),180'(60'),5(14),4,1,bite,2d4,F4,8,190,Silver weapons to hit.
Magnesium Spirit,FF,1(1),360'(120'),0(19),6+1,1,slam,3d4+level drain,F6,9,"1,580",Silver weapons to hit. Blinding flash R20'. Merge with victim in 2rds.
Mandragora1+1HD,M2,3d6(3d6),120'(40'),5(14),1+1,2,tentacles,1d4/1d4,F1,8,21,On a 20 hits throat ongoing 1d4Dam/rd. Fire resistance 50%.
Mandragora2+2HD,M2,3d6(3d6),120'(40'),5(14),2+2,2,tentacles,1d4/1d4,F2,8,47,On a 20 hits throat ongoing 1d4Dam/rd. Fire resistance 50%.
Mantari,FF,1d3(1d3),F180'(60'),9(10),1+1,1,tail,Special,F1,8,21,A hit does 19 minus victim's CON. A 2ndrd hit does 4xDam.
Manticore,L1,1d2(1d4),F180'(60'),4(15),6+1,3,claws/bite,1d4/1d4/2d4,F6,9,980,May shoot 6 (out of 24) tail spikes R180' 1d6Dam each.
Marid,M2,1(1),F240'(80'),0(19),13,1,fist,4d8,F13,9,"5,100",Spell-like abilities. Water jet R60' 1d6Dam+blindness (SNeg).
Mastodon,L1,0(2d8),120'(40'),3(16),15,2,tusks,2d6/2d6,F8,8,"3,300","2xDam if charging. May trample at +4 to hit, 4d8Dam."
Medusa,L1,1d3(1d4),90'(30'),8(11),4,1,bite,1d6+poison,F4,8,245,Poison (SorD). Gaze petrifies (SNeg).
Memory Moss,M2,2d6(2d6),0'(0'),9(10),1-2hp,0,,0,F0,NA,7,Steals 24 hours of memories from 1 victim R60' (SNeg).
"Men, Berserker",L1,1d6(3d10),120'(40'),7(12),1+1,1,weapon,1d6/weapon,F1,NA,21,+2 to hit against all humanoid opponents.
"Men, Brigand",L1,0(1d4x10),120'(40'),Varies,1,1,weapon,1d6/weapon,F1,8,10,"50% Leather+shield(AC7), 50% Chain+shield(AC4)."
"Men, Merchant",L1,0(1d20),90'(30'),9(10),1,1,weapon,1d6/weapon,F1,Varies,10,Most ride mounts. Travel with guards(fighters).
"Men, Nomad",L1,0(1d4x10),120'(40'),Varies,1,1,weapon,1d6/weapon,F1,8,10,Travel on mounts.
"Men, Pirate",L1,0(1d8ships),120'(40'),Varies,1,1,weapon,1d6/weapon,F1,6,10,Most wear Leather armour(AC8).
"Mephit, Fire",FF,1(1),F240'(80'),5(14),3+1,2,claws,1d3+1/1d3+1,F3,8,205,Touch causes 1Dam. Fire Breath R15'x1' 1d8+1Dam (S½).
"Mephit, Lava",FF,1(1),F240'(80'),6(13),3,2,claws,1d8+1/1d8+1,F3,8,125,Touch causes 1d8Dam. Spit lava R10' always hits 1d6Dam.
"Mephit, Smoke",FF,1(1),F240'(80'),4(15),3,2,claws,1d2/1d2,F3,8,95,Soot ball R20' always hits 1d4Dam+1d2rds blindness. Invisibility.
"Mephit, Steam",FF,1(1),F240'(80'),7(12),3+3,2,claws,1d4/1d4,F3,8,240,Touch causes 1Dam. Water jet R20' always hits 1d3Dam+1rd stun.
Merfolk,L1,0(1d20),S120'(40'),6(13),1,1,weapon,1d6/weapon,F1,8,10,"2HD leader in a group of 10+, 4HD in a group of 50+."
Mimic7HD,L2,1(1),30'(10'),7(12),7,1,smash,3d4,F7,8,790,Any creature touching it sticks to it until the mimic is slain.
Mimic8HD,L2,1(1),30'(10'),7(12),8,1,smash,3d4,F8,8,"1,060",Any creature touching it sticks to it until the mimic is slain.
Mimic9HD,L2,1(1),30'(10'),7(12),9,1,smash,3d4,F9,8,"1,700",Any creature touching it sticks to it until the mimic is slain.
Mimic10HD,L2,1(1),30'(10'),7(12),10,1,smash,3d4,F10,8,"1,700",Any creature touching it sticks to it until the mimic is slain.
Minotaur,L1,1d6(1d8),120'(40'),6(13),6,2,gore/bite,1d6/1d6,F6,12,820,May also use any weapon with +2 to damage rolls.
Mite,FF,6d4(6d4),30'(10'),8(11),1-1,1,bite,1d3,F0,6,5,
MongrelmanHD1,M2,1d00(1d00),90'(30'),5(14),1,1,bite/weapon,1d4/weapon,F1,7,19,"Camouflage, mimickry, pick pockets(70%)."
MongrelmanHD2,M2,1d00(1d00),90'(30'),5(14),2,1,bite/weapon,1d6/weapon,F2,7,47,"Camouflage, mimickry, pick pockets(70%)."
MongrelmanHD3,M2,1d00(1d00),90'(30'),5(14),3,1,bite/weapon,1d8/weapon,F3,8,95,"Camouflage, mimickry, pick pockets(70%)."
MongrelmanHD4,M2,1d00(1d00),90'(30'),5(14),4,1,bite/weapon,1d10/weapon,F4,8,245,"Camouflage, mimickry, pick pockets(70%)."
Moon Dog,M2,1(2d4),300'(100'),2(17),8+16,1,bite,3d4,F8,10,"4,560","+2 weapons to hit. AC0/shadows, AC-2/dark. Spell-like abilities."
Morlock,L1,1d12(5d10),120'(40'),8(11),1,1,weapon,Weapon,F1,9,10,-2 to hit in sunlight. Extended infravision R90'.
Muckdweller,M2,5d4(5d4),S120'(40'),6(13),½,1,bite,1d2,F0,5,6,Water jet R10' blinds (NS if surprised). +2 to hit if successful.
Mud-Man,M2,2d6(2d6),30'(10'),9(10),2,1,throw mud,0,F2,NA,29,Charm person (SNeg).
Mule,L1,1d8(2d6),120'(40'),7(12),2,1,kick/bite,1d4/1d3,F0,8,20,Carries upto 200lbs or upto 400lbs at half movement.
Mummy,L1,1d4(1d12),60'(20'),3(16),5+1,1,fist,1d12,F5,12,860,Paralyze with fear (SNeg). Touch causes mummy rot (NS).
Mustard Jelly,M2,1(1),90'(30'),4(15),7+14,1,pod,5d4,F7,12,"1,590",+1 weapons to hit. Vapor cloud 10'R slows (Sneg). May split in 2.
"Naga, Guardian",L2,1d2(0),150'(50'),3(16),11-12,2,bite/constrict,1d6/2d4,F11-12,11,"2,800",Spit poison R30' (SorD). Spellcasting as 6thlvl cleric.
"Naga, Spirit",L2,1d3(0),120'(40'),4(15),9-10,1,bite,1d3+poison,F9-10,8,"2,400",Poison (SorD). Charm gaze. Spellcasting as 3rdlvl MU/2ndlvl cleric.
"Naga, Water7HD",L2,1d4(0),S180'(60'),5(14),7,1,bite,1d4+poison,F7,8,"1,140",Poison (SorD). Spellcasting as 5thlvl MU. Ground movement 90'(30').
"Naga, Water8HD",L2,1d4(0),S180'(60'),5(14),8,1,bite,1d4+poison,F8,8,"1,560",Poison (SorD). Spellcasting as 5thlvl MU. Ground movement 90'(30').
Neanderthal,L1,1d10(4d10),120'(40'),8(11),2,1,weapon,2d4/weapon,F2,7,20,Leaders have 6HD.
Necrophidius,FF,1(1),90'(30'),2(17),2,1,bite,1d8+paralysis,F2,12,56,Surprises on 1-3. Death dance. Bite paralyzes 1d4turns (SNeg).
Night Hag,L2,1(1),90'(30'),9(10),8,1,claw,2d6,F8,8,"1,560",Spell-like abilities. Constitution drain.
Nightmare,L2,1(0),F360'(120'),-4(23),6+6,3,hooves/bite,1d6+4/1d6+4/2d4,F6,10,980,Smoke breath -2 to hit (SNeg). Ground movement 150'(50').
Nilbog,FF,4d10(4d10),60'(20'),6(13),1-1,1,weapon,Weapon,F0,10,7,"A reverse goblin. Wounds add hp, healing harms it."
Nixie,L1,0(2d20),S120'(40'),7(12),1,1,weapon,1d4,E1,6,16,Charm (10 nixies required). Water breathing (lasts 24hours).
Nymph,L2,0(1d4),120'(40'),9(10),3,0,,0,F3,6,80,Spell-like abilities.
Ochre Jelly,L1,1(0),30'(10'),8(11),5,1,slime,2d6,F3,12,500,Splits into 1d4+1 2HD versions. Disolves wood/leather in 1rd.
"Octopus, Giant",L1,0(1d2),S90'(30'),7(12),8,8,tentacles or bite,1d3each/1d6,F4,7,"2,060",Ongoing 1d3Dam. -1 to hit per tentacle hit. Ink cloud 40'R.
Ogre,L1,1d6(2d6),90'(30'),5(14),4+1,1,club,1d10,F4,10,215,
Ogre Mage,L2,1d6(1d6),F150'(50'),4(15),5+2,1,weapon,1d12,M5,9,660,Ground movement 90'(30'). Regenerates 1hp/rd. Spell-like abilities.
Ogrillon,FF,1d4(5d6),120'(40'),6(13),2,2,fists,1d6+1/1d6+1,F2,9,20,Orc/ogre crossbreed.
Olive Slime,M2,1d4(1d4),0'(0'),9(10),2+2,0,,0,F2,12,47,Touching the slime causes it to attach and slowly spread.
Orc,L1,2d4(1d6x10),120'(40'),6(13),1,1,weapon,1d6/weapon,F1,8,10,-1 to hit in sunlight. Chief 4HD 15hp +2Dam.
Otyugh6HD,L2,1(2),60'(20'),3(16),6,3,tentacles/bite,1d8/1d8/1d4+1,F6,10,820,Never surprised. Bite causes disease 1d3Dam/day (SNeg).
Otyugh7HD,L2,1(2),60'(20'),3(16),7,3,tentacles/bite,1d8/1d8/1d4+1,F7,10,"1,140",Never surprised. Bite causes disease 1d3Dam/day (SNeg).
Otyugh8HD,L2,1(2),60'(20'),3(16),8,3,tentacles/bite,1d8/1d8/1d4+1,F8,10,"1,560",Never surprised. Bite causes disease 1d3Dam/day (SNeg).
"Otyugh, Adv9-10HD",L2,1(1),60'(20'),0(19),9-10,3,tentacles/bite,2d6/2d6/2d4,F9-10,9,"2,400",Never surprised. Bite causes disease 1d3Dam/day (SNeg).
"Otyugh, Adv11-12HD",L2,1(1),60'(20'),0(19),11-12,3,tentacles/bite,2d6/2d6/2d4,F11-12,9,"2,800",Never surprised. Bite causes disease 1d3Dam/day (SNeg).
Owl Bear,L1,1d4(1d4),120'(40'),5(14),5,3,claws/bite,1d8/1d8/1d8,F3,7,350,+2d8Dam if both claws hit.
"Owl, Giant",L2,1d4+1(1d4+1),F180'(60'),6(13),4,3,claws/bite,2d4/2d4/1d4+1,F4,8,80,In lair 25% chance of 1d4 eggs and 25% chance of 1d4 chicks.
"Pedipalp, Large",M2,1d4(1d4),120'(40'),7(12),1+1,1,bite,1d8,F1,7,15,
"Pedipalp, Huge",M2,1d4(1d4),90'(30'),4(15),2+2,3,pincers/bite,1d6/1d6/1d8,F2,8,47,Pincers grip on a hit ongoing 2d6Dam/rd.
"Pedipalp, Giant",M2,1d2(1d2),60'(20'),2(17),4+4,3,pincers/bite,1d8/1d8/2d4,F4,9,290,Pincers grip on a hit ongoing 2d8Dam/rd. Gas 20'R -3 to hit (SNeg).
Pegasus,L1,0(1d10),F480'(160'),6(13),2+2,2,hooves,1d6/1d6,F2,8,47,Ground movement 240'(80').
Phantom,M2,1(1),90'(30'),NA,NA,0,0,0,NA,NA,0,Cause fear (SNeg-2).
Phantom Stalker,FF,1d2(1d2),F240'(80'),3(16),6,2,claws,1d4/1d4,F6,12,"1,070",Polymorph. Immune to fire. Explodes at death 6d6 fireball.
Phase Tiger,L1,1d4(1d4),150'(50'),4(15),6,2,tentacles,2d4/2d4,F6,8,570,+2 to all saves. Opponents attack at -2 to hit.
Phoenix,M2,1(1d4),F390'(130'),-3(22),20,1or2,bite/claws,2d6/1d8/1d8,F20,10,"8,250",Never surprised. +3 to initiative. +3 weapons to hit. Spell-like abilities.
Phycomid,M2,1d4(1d4),30'(10'),5(14),4,2,globules,1d4+2/1d4+2,F4,NA,190,Infection kills in 1d4+4turns (SNeg). Some fire immunity.
Piercer1HD,L2,3d6(3d6),10'(3'),3(16),1,1,drop,1d6,F1,10,10,Detect movement and bodyheat to target prey.
Piercer2HD,L2,3d6(3d6),10'(3'),3(16),2,1,drop,2d6,F2,10,20,Detect movement and bodyheat to target prey.
Piercer3HD,L2,3d6(3d6),10'(3'),3(16),3,1,drop,3d6,F3,10,50,Detect movement and bodyheat to target prey.
Piercer4HD,L2,3d6(3d6),10'(3'),3(16),4,1,drop,4d6,F4,10,80,Detect movement and bodyheat to target prey.
Pixie,L1,2d4(1d4x10),F180'(60'),3(16),1,1,dagger,1d4,E1,7,16,Always surprises. Improved invisibility. Ground movement 90'(30').
Potergeist,FF,1d8(1d8),60'(20'),9(10),½,0,,0,F0,12,8,Silver weapons to hit. Invisible. Causes fear (SNeg).
Pseudo-dragon,L2,1(1),F240'(80'),2(17),2,1,bite/tail,1d3/poison,F2,7,38,Poison (SorComa 1d6days). Tail +4 to hit. Hiding 80% chance.
Purple Worm,L1,1d2(1d4),60'(20'),6(13),15,2,bite/sting,2d8/1d8+poison,F8,10,"3,300",Poison (SorD). On 4+ over to hit swallows whole 3d6Dam/rd.
Pyrolisk,M2,1d4(1d4),F180'(60'),6(13),4+3,1,bite,1d4,F4,7,375,Gaze petrifies (SNeg but 1d12+Dam). Immune to fire.
"Quasi-Elemental, Lightning6HD",M2,1(1),F180'(60'),2(17),6,1,shock,1d6+6,F6,10,"1,570","+1 weapons to hit. 1d4Dam if striking with metal. Water2xDam, Fire½Dam."
"Quasi-Elemental, Lightning9HD",M2,1(1),F180'(60'),2(17),9,1,shock,1d6+9,F9,10,"4,500","+1 weapons to hit. 1d4Dam if striking with metal. Water2xDam, Fire½Dam."
"Quasi-Elemental, Lightning12HD",M2,1(1),F180'(60'),2(17),12,1,shock,1d6+12,F12,10,"5,200","+1 weapons to hit. 1d4Dam if striking with metal. Water2xDam, Fire½Dam."
Quickling,M2,4d4(4d4),960'(320'),-3(22),1½,3,dagger,1d2/1d2/1d2,C19,7,33,Never surprised. Spell-like abilities.
Quickwood5HD,M2,1(1d2+2),10'(3'),5(14),5,1,bite,3d4,F5,12,500,1d6+12 roots grab victims R90'. May possess 2d4 oak trees.
Quickwood6HD,M2,1(1d2+2),10'(3'),5(14),6,1,bite,3d4,F6,12,820,1d6+12 roots grab victims R90'. May possess 2d4 oak trees.
Quickwood7HD,M2,1(1d2+2),10'(3'),5(14),7,1,bite,3d4,F7,12,"1,140",1d6+12 roots grab victims R90'. May possess 2d4 oak trees.
Quickwood8HD,M2,1(1d2+2),10'(3'),5(14),8,1,bite,3d4,F8,12,"1,560",1d6+12 roots grab victims R90'. May possess 2d4 oak trees.
Quickwood9HD,M2,1(1d2+2),10'(3'),5(14),9,1,bite,3d4,F9,12,"2,400",1d6+12 roots grab victims R90'. May possess 2d4 oak trees.
Quickwood10HD,M2,1(1d2+2),10'(3'),5(14),10,1,bite,3d4,F10,12,"2,400",1d6+12 roots grab victims R90'. May possess 2d4 oak trees.
Rakshasa,L2,1d4(1d4),150'(50'),-4(23),7,3,claws/bite,1d3/1d3/1d4+1,F7,9,"1,840",Magic weapons to hit (½Dam only). Spells and spell-like abilities.
Rat,L1,5d10(2d10),60'(20'),9(10),1hp,1,bite(group),1d6(group),F0,5,6,"Disease (SNeg) lasts 30days, 25% fatality rate. Swim 30'(10')."
"Rat, Giant",L1,3d6(3d10),120'(40'),7(12),½,1,bite,1d3,F1,8,6,"Disease (SNeg) lasts 30days, 25% fatality rate. Swim 60'(20')."
Raven,M2,4d8(4d8),F360'(120'),7(12),1-2hp,1,bite,1,F0,6,7,Never surprised. 10% chance that a hit will take out an eye.
"Raven, Huge",M2,2d4(2d4),F270'(90'),6(13),1-1,1,bite,1d2,F0,7,7,Never surprised. 10% chance that a hit will take out an eye.
"Raven, Giant",M2,4d4(4d4),F180'(60'),4(15),3+2,1,bite,1d4+2,F3,8,135,Never surprised. 10% chance that a hit will take out an eye.
Remorhaz7HD,L2,1(1),120'(40'),0(19),7,1,bite,6d6,F7,10,"1,140","Belly AC4, Head AC2. Heat melts weapons."
Remorhaz8HD,L2,1(1),120'(40'),0(19),8,1,bite,6d6,F8,10,"1,560","Belly AC4, Head AC2. Heat melts weapons. Swallow whole."
Remorhaz9HD,L2,1(1),120'(40'),0(19),9,1,bite,6d6,F9,10,"2,400","Belly AC4, Head AC2. Heat melts weapons. Swallow whole."
Remorhaz10HD,L2,1(1),120'(40'),0(19),10,1,bite,6d6,F10,10,"2,400","Belly AC4, Head AC2. Heat melts weapons. Swallow whole."
Remorhaz11HD,L2,1(1),120'(40'),0(19),11,1,bite,6d6,F11,10,"2,800","Belly AC4, Head AC2. Heat melts weapons. Swallow whole."
Remorhaz12HD,L2,1(1),120'(40'),0(19),12,1,bite,6d6,F12,10,"2,800","Belly AC4, Head AC2. Heat melts weapons. Swallow whole."
Remorhaz13HD,L2,1(1),120'(40'),0(19),13,1,bite,6d6,F13,10,"3,300","Belly AC4, Head AC2. Heat melts weapons. Swallow whole."
Remorhaz14HD,L2,1(1),120'(40'),0(19),14,1,bite,6d6,F14,10,"3,300","Belly AC4, Head AC2. Heat melts weapons. Swallow whole."
"Rhagodessa, Giant",L1,1d4(1d6),150'(50'),5(14),4+2,1,leg/bite,0/2d8,F2,9,215,A leg hit traps victim and bite auto hits next round.
Rhinoceros,L1,0(1d12),120'(40'),5(14),6,1,butt/trample,2d4/2d8,F3,6,570,2xDam if charging.
"Rhinoceros, Wooly",L1,0(1d8),120'(40'),4(15),8,1,butt/trample,2d6/2d12,F4,6,"1,060",2xDam if charging.
"Roc, Small",L1,0(1d12),F480'(160'),4(15),6,3,claws/bite,1d4+1/1d4+1/2d6,F3,8,320,50% chance of nest having 1d6 eggs or 1d4 young.
"Roc, Large",L1,0(1d8),F480'(160'),2(17),12,3,claws/bite,1d8/1d8/2d10,F6,9,"1,200",50% chance of nest having 1d6 eggs or 1d4 young.
"Roc, Giant",L1,0(1),F480'(160'),0(19),36,3,claws/bite,3d6/3d6/8d6,F9,10,"6,750",50% chance of nest having 1d6 eggs or 1d4 young.
Rock Reptile(8'long),M2,1d2(1d2),60'(20'),3(16),5+8,1,bite,1d4+8,F5,8,660,Surprises on 1-3. Camouflage. Initial rush (1rd) at 2x speed.
Roper10HD,L2,1d3(1d3),30'(10'),0(19),10,1,bite,5d4,F10,8,"2,400",6 strands grab R50' (open doors to free) and pull to mouth at 10'/rd.
Roper11HD,L2,1d3(1d3),30'(10'),0(19),11,1,bite,5d4,F11,8,"2,800",6 strands grab R50' (open doors to free) and pull to mouth at 10'/rd.
Roper12HD,L2,1d3(1d3),30'(10'),0(19),12,1,bite,5d4,F12,8,"2,800",6 strands grab R50' (open doors to free) and pull to mouth at 10'/rd.
"Roper, Stone",M2,1(1),10'(3'),0(19),6,1,bite,1d10,F6,8,"1,070",As roper above. May also drug 2 victims to fight for it (NS).
Rot Grub,L1,0(5d4),10'(2'),9(10),1hp,0,,0,F0,NA,5,Burrow in flesh to heart in 1d3x10mins. Fire/Cure disease removes.
Rust Monster,L1,1d4(1d4),120'(40'),2(17),5,1,antennae,Rust,F3,7,500,Immune to metal weapons. Drain magic weapons -1/touch.
Sahuagin,L2,4d4(3d4x10),S240'(80'),5(14),2+2,5,claws/bite,1d2each/1d4,F2,8,47,50% use tridents and nets. Ground movement 120'(40').
